Image,Model,Price,Gender,Peso Hombre,Peso Mujer,Drop,Amortiguación,Constitución,Pisada,Superficie,Uso,Ritmo,Pie,Apoyo,Distancia,Año,URL
https://static.runnea.com/images/202306/adidas-ultraboost-22-zapatillas-running-400x400x90xX.jpg?1,Adidas Ultraboost 22,"98,67 €","Hombre, Mujer",333 gr,289 gr,10 mm,Alto,Fuerte,Neutro,Asfalto,Entrenamiento,"Bajo, Medio",Normal,Talón,"10K, Media maratón, Maratón",2021,
https://static.runnea.com/images/202303/adidas-supernova-2.0-zapatillas-running-400x400x90xX.jpg?1,Adidas Supernova 2.0,"58,49 €","Hombre, Mujer",246 (Mujer) 280 g (Hombre),9 mm,Neutro,"Medio, Fuerte",Neutro,Asfalto,Entrenamiento,"Bajo, Medio",Normal,Talón,"10K, Media maratón",Material reciclado,2022,
https://static.runnea.com/images/202211/nike-air-zoom-vomero-16-zapatillas-running-400x400x80xX.jpg?1,Nike Air Zoom Vomero 16,"95,97 €","Hombre, Mujer",310 gr,10 mm,Alto,"Medio, Fuerte","Neutro, Supinador",Asfalto,Entrenamiento,Bajo,Normal,Talón,"Media maratón, Maratón",2022,,
https://static.runnea.com/images/202211/asics-patriot-13-zapatillas-running-400x400x80xX.jpg?1,ASICS Patriot 13,"46,99 €","Hombre, Mujer",280 gr,10 mm,Neutro,Medio,Neutro,Asfalto,Entrenamiento,Bajo,Normal,Talón,"Corto, 10K, Media maratón, Maratón","Material reciclado, Sostenibles en CO2",2022,
https://static.runnea.com/images/202308/asics-noosa-tri-15-zapatillas-running-400x400x90xX.jpg?1,ASICS Noosa Tri 15,"60,00 €","Hombre, Mujer",215 gr,5 mm,Neutro,"Delgada, Medio",Neutro,Asfalto,Varios,"Medio, Alto",Normal,Talón,"Corto, 10K, Media maratón, Maratón","Material reciclado, Sostenibles en CO2",2023,
https://static.runnea.com/images/202303/brooks-adrenaline-gts-22-zapatillas-running-400x400x90xX.jpg?1,Brooks Adrenaline GTS 22,"78,95 €","Hombre, Mujer",295 gr,12 mm,Alto,"Medio, Fuerte",Pronador,Asfalto,"Bajo, Medio","Normal, Bajo, Plano",Talón,"10K, Media maratón, Maratón",2022,,,
https://static.runnea.com/images/202303/asics-gel-cumulus-24-zapatillas-running-400x400x90xX.jpg?1,ASICS Gel Cumulus 24,"89,60 €","Hombre, Mujer",286 gr,8 mm,Neutro,"Medio, Fuerte",Neutro,Asfalto,Entrenamiento,"Bajo, Medio",Normal,Talón,"Corto, 10K, Media maratón, Maratón",Material reciclado,2022,
https://static.runnea.com/images/202306/asics-gel-kayano-30-zapatillas-running-400x400x90xX.jpg?1,ASICS Gel Kayano 30,"148,79 €","Hombre, Mujer",301 gr,265 gr,10 mm,Alto,"Medio, Fuerte",Pronador,Asfalto,Entrenamiento,Bajo,Talón,"Corto, 10K, Media maratón, Maratón",Material reciclado,2023,
https://static.runnea.com/images/202306/mizuno-wave-rider-27-zapatillas-running-400x400x90xX-1.jpg?1,Mizuno Wave Rider 27,"104,95 €","Hombre, Mujer",280 gr,240 gr,12 mm,"Neutro, Alto","Medio, Fuerte","Neutro, Supinador",Asfalto,Entrenamiento,"Bajo, Medio","Cavo, Normal",Talón,"10K, Media maratón, Maratón","Material reciclado, Sostenibles en CO2",Unknown
https://static.runnea.com/images/202210/nike-downshifter-12-zapatillas-running-400x400x80xX.jpg?1,Nike Downshifter 12,"47,87 €","Hombre, Mujer, kid",310 gr,10 mm,Neutro,"Delgada, Medio",Neutro,Asfalto,Entrenamiento,Bajo,Normal,Talón,"Corto, 10K",Material reciclado,2022,
