Model,Gender,Image,Type,Width,Price,Category,Sizes,Colors
GT-1000 12 TR,Men,https://images.asics.com/is/image/asics/1011B761_200_SR_RT_GLB?$productlist$,Zapatillas de hombre,,"€ 130,00",,,
GT-1000 12 TR,Woman,https://images.asics.com/is/image/asics/1012B575_200_SR_RT_GLB?$productlist$,Calzado para mujer,,"€ 130,00",,,
GT-2000 12,Men,"https://images.asics.com/is/image/asics/1011B691_001_SR_RT_GLB?$productlist$, https://images.asics.com/is/image/asics/1011B691_401_SR_RT_GLB?$productlist$, https://images.asics.com/is/image/asics/1011B691_003_SR_RT_GLB?$productlist$","Zapatillas de hombre, Zapatillas de hombre, Zapatillas de hombre",,"€ 160,00, € 160,00, € 160,00",,,
GT-2000 12,Woman,"https://images.asics.com/is/image/asics/1012B506_022_SR_RT_GLB?$productlist$, https://images.asics.com/is/image/asics/1012B506_300_SR_RT_GLB?$productlist$","Calzado para mujer, Calzado para mujer",,"€ 160,00, € 160,00",,,
GT-2000 12 LITE-SHOW,Men,https://images.asics.com/is/image/asics/1011B766_001_SR_RT_GLB?$productlist$,Zapatillas de hombre,,"€ 160,00",,,
GT-2000 12 LITE-SHOW,Woman,https://images.asics.com/is/image/asics/1012B578_001_SR_RT_GLB?$productlist$,Calzado para mujer,,"€ 160,00",,,
GT-2000 12 NARROW,Woman,https://images.asics.com/is/image/asics/1012B509_002_SR_RT_GLB?$productlist$,Calzado para mujer,,"€ 160,00",,,
GT-2000 12 TR,Men,https://images.asics.com/is/image/asics/1011B775_200_SR_RT_GLB?$productlist$,Zapatillas de hombre,,"€ 160,00",,,
GT-2000 12 TR,Woman,https://images.asics.com/is/image/asics/1012B587_200_SR_RT_GLB?$productlist$,Calzado para mujer,,"€ 160,00",,,
GT-2000 12 WIDE,Men,https://images.asics.com/is/image/asics/1011B689_002_SR_RT_GLB?$productlist$,Zapatillas de hombre,,"€ 160,00",,,
